ArRId,ArRName
463161,Cité
21973,Mabillon
21978,Odéon
21977,Vaneau
463140,Cambronne
463143,Charonne
463146,Chemin Vert
463151,Concorde
463150,Concorde
463116,Abbesses
463118,Alésia
463113,Blanche
463121,Argentine
463127,Bel-Air
463104,Denfert-Rochereau
463101,Passy
21946,Saint-Fargeau
21952,Jaurès
21950,Gambetta
21910,Saint-Ambroise
463292,Raspail
463261,Porte de Versailles
463260,Porte de Vanves
463266,Ternes
463267,Tolbiac
463241,Montgallet
463245,Opéra
463253,Place de Clichy
462987,Villiers
462984,Colonel Fabien
462999,Laumière
462995,Odéon
462991,Gambetta
462992,Saint-Sulpice
462978,Brochant
462970,Saint-Lazare
462971,Saint-Lazare
462949,Convention
462956,Exelmans
462951,Porte de Saint-Ouen
462997,Gambetta
21960,Pyramides
480531,Porte de Clichy
480541,Porte de Clichy
22391,Censier - Daubenton
463156,Buttes Chaumont
463094,Barbès - Rochechouart
22130,Barbès - Rochechouart
22136,Saint-Germain-des-Prés
463169,Daumesnil
22179,Bir-Hakeim
21997,Arts et Métiers
22002,Richard-Lenoir
22007,Gare du Nord
22124,Avron
22109,Victor Hugo
22085,Concorde
22030,Opéra
22031,Malesherbes
22049,Rennes
22043,Rue du Bac
22028,Wagram
24682,Place des Fêtes
22230,Gaîté
22185,Invalides
22152,Château Rouge
22169,Nationale
22160,Saint-Jacques
22135,Vavin
22137,Saint-Michel
22131,Raspail
22149,Gare du Nord
22377,Poissonnière
22380,Porte d'Italie
463083,Duroc
463084,Duroc
463089,Pigalle
463096,Richard-Lenoir
463098,Picpus
463063,Madeleine
463061,Hôtel de Ville
463069,Europe
463077,Jussieu
463034,Louis Blanc
463027,Ourcq
463009,Stalingrad
463314,Sèvres-Lecourbe
463315,Ségur
463307,Saint-Paul (Le Marais)
463308,Saint-Placide
463304,Saint-Georges
21982,Mirabeau
463184,Gaîté
21995,Jourdain
21993,Télégraphe
463195,Ledru-Rollin
21965,Madeleine
463158,Châtelet
463164,Concorde
21979,Ségur
463149,Château de Vincennes
463154,Courcelles
463114,Boissière
463105,Corvisart
463103,Denfert-Rochereau
21947,Porte des Lilas
21927,Iéna
21924,Miromesnil
21917,Trocadéro
21936,Maraîchers
21905,Oberkampf
21903,République
21911,Saint-Augustin
463278,Porte de Clichy
463287,Pyrénées
463288,Quai de la Gare
463295,Riquet
463257,Porte Maillot
463268,Trocadéro
463232,Pont Neuf
463228,Pereire
462989,Quatre Septembre
462969,Saint-Lazare
462965,Notre-Dame des Champs
462961,République
462943,Nation
462990,Pelleport
21957,Bercy
462986,Sentier
463297,Rue Saint-Maur
463124,Avenue Émile Zola
463298,Rue des Boulets
22008,Bréguet-Sabin
22001,Stalingrad
22113,Philippe Auguste
22115,Place de Clichy
22116,Ménilmontant
22121,Courcelles
22120,Colonel Fabien
22104,Château de Vincennes
22078,Porte Maillot
22057,Concorde
22022,Porte de Bagnolet
24687,Danube
24686,Botzaris
22029,Sentier
22021,Pereire
22231,Brochant
22229,Duroc
22222,Pernety
22225,Liège
22206,Michel Bizot
22207,Porte Dorée
22192,La Tour-Maubourg
22195,Opéra
22176,Cambronne
22170,Kléber
22182,Dugommier
22186,Balard
22155,Raspail
22153,Château d'Eau
22164,Trocadéro
22144,Mouton-Duvernet
22145,Odéon
22141,Porte de Clignancourt
22367,Château Landon
22370,Tolbiac
22371,Riquet
22372,Porte d'Ivry
22385,Maison Blanche
463079,Châtelet
463088,Pigalle
463099,Dupleix
463065,Jules Joffrin
463066,Liège
463068,Malesherbes
463073,Porte de Clignancourt
463039,Buzenval
463016,Vavin
463006,Château Landon
463003,Place d'Italie
463318,Trocadéro
463185,George V
463182,Gare du Nord
463183,Gare du Nord
21963,Saint-Lazare
463155,Crimée
21970,Duroc
463171,Etienne Marcel
463147,Chevaleret
21925,Oberkampf
21937,République
21929,La Muette
21902,République
21914,Porte de Saint-Cloud
21906,Havre-Caumartin
463258,Porte de Champerret
463255,Poissonnière
463252,Place de Clichy
463229,Pernety
463224,Maison Blanche
463230,Philippe Auguste
463204,La Tour-Maubourg
462998,Odéon
462968,Rennes
462948,Pasteur
478395,La Fourche
21948,Pelleport
21945,Gambetta
463129,Bercy
463263,Porte des Lilas
463310,Simplon
22133,Simplon
463162,Commerce
22190,Commerce
463135,Boucicaut
22039,Pasteur
22000,Saint-Marcel
22009,Campo-Formio
463046,Gare de Lyon
22171,Dupleix
463289,Quai de la Rapée
462982,La Chapelle
463312,Strasbourg - Saint-Denis
463037,Richelieu - Drouot
22196,Richelieu - Drouot
463294,Reuilly - Diderot
463286,Père Lachaise
22156,Montparnasse Bienvenue
21922,Michel-Ange - Auteuil
463238,Michel-Ange - Auteuil
22055,Lamarck - Caulaincourt
463201,La Motte-Picquet - Grenelle
22228,Guy Môquet
21931,Franklin D. Roosevelt
21971,Église d'Auteuil
462944,Cluny - La Sorbonne
21983,Cluny - La Sorbonne
463144,Chaussée d'Antin - La Fayette
21932,Chaussée d'Antin - La Fayette
463043,Charles de Gaulle - Etoile
463042,Charles de Gaulle - Etoile
22095,Charles de Gaulle - Etoile
463211,Lourmel
463173,Falguière
22378,Pont Marie (Cité des Arts)
463049,Grands Boulevards
463024,Gare d'Austerlitz
463023,Gare d'Austerlitz
463111,Belleville
21998,Belleville
