Nom du lieu,Discipline,Offre,Avantage,Type d'avantage,Adresse,Commune,Latitude,Longitude,Color
Citéco - Cité de l'Économie,Musée,"Pour les abonnés Navigo et à leur accompagnateur, tarif réduit sur les collections permanentes. Pour les abonnés imagine R, tarif très réduit à 6€ sur les collections permanentes. Offre valable sur la billetterie en ligne et en billetterie physique, sur présentation d’un justificatif.",Avantage tarifaire,"Tarif réduit,Tarif réduit accompagnant",1 Place du Général Catroux,Paris,48.88195788046292,2.310690240101099,#FF0000
Cité de la musique-Philharmonie de Paris,Musée,Tarif réduit pour le Musée et pour les expos de la Cité de la musique - Philharmonie de Paris,Avantage tarifaire,Tarif réduit,221 Avenue Jean Jaurès,Paris,48.8912979983968,2.3942890320937256,#FF0000
Cinépal',Cinéma,Offre ponctuelle et tarif réduit sur les salles adhérentes,Avantage tarifaire,Tarif réduit,10 Avenue du 8 mai 1945,Palaiseau,48.71209067095574,2.245049417146636,#FF0000
Cinemas Du Palais,Cinéma,"Sur présentation d’un passe Navigo valide en caisse, est proposé un tarif de 5€ sur les séances événements des Cinémas du Palais : séances avec invités, animés, avec ateliers, à raison, en moyenne de deux événements par semaine, sur toute l’année, pour tous les âges. Hors séances opéra au cinéma",Avantage tarifaire,Tarif réduit,40 Allée Parmentier,Créteil,48.78615201522536,2.444113889108566,#FF0000
Cinéma Les Toiles,Cinéma,Tarif réduit de la salle pour les détenteurs du Pass Navigo pour toutes les séances d’Arthur Rambo de Laurent Cantet,Avantage tarifaire,Tarif réduit,Place François Truffaut,Saint-Gratien,48.967627035604565,2.286207482538227,#FF0000
Musée Intercommunal De Nogent-Sur-Marne,Musée,"Tarif réduit sur visite commentée au choix expo permanente bords de Marne ou expo permanente groupe de 8 personnes, sur rendez-vous",Avantage tarifaire,Tarif réduit,36 Boulevard Gallieni,Nogent-sur-Marne,48.8402586,2.4843277,#FF0000
Le Cin’Hoche,Cinéma,Tarif réduit sur certains évènements cinéma,Avantage tarifaire,Tarif réduit,6 Rue Hoche,Bagnolet,48.86928480214116,2.417076452979118,#FF0000
Cinéma Le Kosmos,Cinéma,Tarif réduit de la salle pour les détenteurs du Pass Navigo pour toutes les séances d’Arthur Rambo de Laurent Cantet,Avantage tarifaire,Tarif réduit,243 ter Avenue de la République,Fontenay-sous-Bois,48.85282157542318,2.467694948497047,#FF0000
Musée Des Arts Et Métiers - Cnam,Musée,"Tarif réduit pour le porteur du passe Navigo et son accompagnateur, sur le billet d'accès au musée (comprenant une entrée aux expositions permanentes et temporaires), uniquement en période d’exposition temporaire.",Avantage tarifaire,"Tarif réduit,Tarif réduit accompagnant",60 Rue Réaumur,Paris,48.86664785944594,2.3554302647423095,#FF0000
La Mandapa,Théâtre,"Accès au tarif réduit du même niveau que celui proposé aux demandeurs d'emploi, étudiants, retraités, habitants du 13ème. Réservation et règlement en ligne sur le site de l’établissement.",Avantage tarifaire,Tarif réduit,6 rue Wurtz,Paris,48.82757,2.34513,#FF0000
