Nom du lieu,Discipline,Offre,Avantage,Type d'avantage,Adresse,Commune,Latitude,Longitude,Color
Institut des Cultures d'Islam,Centre d'art,Les abonnés Navigo bénéficient d’une visite guidée gratuite et exclusive de chaque exposition de l’ICI,Avantage service,Visite guidée gratuite,56 Rue Stephenson,Paris,48.88854414848145,2.3563171401993794,#009900
Maison Des Arts De Malakoff,Centre d'art,1 tote bag offert à la 1ere visite et visite VIP de l'expo et visite gouter pour les enfants pendant les vacances et tarif réduit pour les Workshops,Avantage service,"Cadeau,Visite guidée gratuite",105 Avenue du 12 Février 1934,Malakoff,48.81805903206959,2.3078149069945635,#009900
"La Galerie, Centre D'art Contemporain De Noisy-Le-Sec",Centre d'art,Offre de visite et rencontre privilégiées autour d'une collation et remise publications éditées par le Centre,Avantage service,"Visite guidée gratuite,Rencontre d'artistes",1 Rue Jean Jaurès,Noisy-le-Sec,48.89074928036332,2.453017367241744,#009900
Musée Eugene Carrière,Musée,Un DVD sur le peintre Eugène Carriere remis aux détenteurs,Avantage service,Cadeau,5 Rue Ernest Pêcheux,Gournay-sur-Marne,48.86427295391711,2.5792342801052675,#009900
Palais de Tokyo,Musée,Offre sur les services spécifiques,Avantage service,Service exclusif,13 Avenue du Président Wilson,Paris,48.86459303436321,2.296674999618724,#009900
Galéria Continua,Centre d'art,Visite guidée gratuite,Avantage service,Visite guidée gratuite,87 Rue du Temple,Paris,48.86184881215512,2.35656588037768,#009900
Maison Du Docteur Gachet,Musée,Don d'un document d'aide à la visite,Avantage service,Service exclusif,78 Rue Gachet,Auvers-sur-Oise,49.071833093127836,2.1560882333474667,#009900
La Briqueterie Cdndu Val De Marne,Danse,Boisson chaude offerte au bar,Avantage service,Service exclusif,17 Rue Robert Degert,Vitry-sur-Seine,48.80549120077984,2.3749973822073196,#009900
Centre d'Art Contemporain (CAC) Brétigny,Centre d'art,Invitation aux vernissages et rencontres d'artistes,Avantage service,"Invitation aux vernissages,Rencontre d'artistes",Rue Henri Douard,Brétigny-sur-Orge,48.609724150729846,2.3116023377789476,#009900
